whale_ID,sex,class,pregnant,mom_calf,mom_calf_pair,datetime,month,year,season,seasonal_duration,Lab,Aircraft,Flight,Focal_Length,Sw,Iw,TL.mean,TL.lower,TL.upper,TL.HPDwidth,TL.var,TL.cv,BAI.mean,BAI.lower,BAI.upper,BAI.HPDwidth,BAI.var,BAI.cv
whale1,unknown,Mature Unknown,,NA,NA,3/5/19 12:32,3,2019,season 3,124.5228935,MaRRS,Alta,190305_A_F1,35,23.5,6000,12.25591052,11.51581166,13.50218659,1.986374934,0.357146708,17.07066873,25.09360063,24.30449636,25.872518,1.568021635,0.158373004,1.585906561
whale2,unknown,Mature Unknown,,,NA,3/9/19 17:24,3,2019,season 3,128.7252083,MaRRS,Alta,190309_A_F3,35,23.5,6000,12.2240258,11.51074143,12.9839925,1.473251066,0.140830729,10.73350553,26.29251159,26.21486797,26.3710827,0.156214733,0.001457473,0.145200508
whale3,unknown,Calf,,calf,18,3/11/19 14:46,3,2019,season 3,130.6157755,MaRRS,Alta,190311_A_F2,35,23.5,6000,8.008976771,7.660376918,8.699905875,1.039528957,0.122779186,12.381517,27.10264234,26.5943494,27.62540551,1.031056102,0.068568649,0.96616469
whale4,unknown,Juvenile Unknown,,,NA,3/11/19 13:55,3,2019,season 3,130.580463,MaRRS,Alta,190311_A_F1,35,23.5,6000,10.28673565,9.604696397,11.05731748,1.452621088,0.28136877,16.53861572,26.88756489,26.34515682,27.43262103,1.087464217,0.076524093,1.028839484
whale5,unknown,Calf,,calf,13,3/2/19 18:35,3,2019,season 3,121.7748727,MaRRS,Alta,190302_A_F1,35,23.5,6000,9.921540102,9.735290658,10.10701456,0.371723901,0.008906655,2.996179085,23.67597964,23.4081873,23.94189689,0.533709587,0.018190446,0.569657362
whale6,unknown,Juvenile Unknown,,NA,NA,3/5/19 14:23,3,2019,season 3,124.5993171,MaRRS,Alta,190305_A_F2,35,23.5,6000,10.80384756,10.55267052,11.06119027,0.508519753,0.016435968,3.900393493,24.16164435,23.96151879,24.35898916,0.397470368,0.010257805,0.419180179
whale7,F,Lactating Female,,mom,16,3/6/19 14:35,3,2019,season 3,125.6079514,MaRRS,Alta,190306_A_F3,35,23.5,6000,12.84932716,12.72762496,12.98717712,0.259552163,0.004308879,1.83122606,27.63075885,27.50365787,27.75761746,0.253959592,0.004222944,0.235187822
whale8,unknown,Calf,,calf,15,3/3/19 20:39,3,2019,season 3,122.8609722,MaRRS,Alta,190303_A_F5,35,23.5,6000,10.0044226,9.72415754,10.37679811,0.652640569,0.079339346,8.90529464,25.47706918,25.14343879,25.82103093,0.677592135,0.029895202,0.678658482
whale9,unknown,Mature Unknown,,,NA,3/3/19 19:04,3,2019,season 3,122.7946065,MaRRS,Alta,190303_A_F3,35,23.5,6000,12.25555037,11.72372684,12.79966723,1.075940392,0.07412585,7.777113462,24.95204808,24.6649823,25.22769339,0.562711085,0.020406384,0.572501761
whale10,unknown,Juvenile Unknown,,,NA,3/11/19 15:22,3,2019,season 3,130.6406366,MaRRS,Alta,190311_A_F3,35,23.5,6000,10.7973693,10.53447816,11.17732598,0.642847819,0.026859465,4.987577986,26.23026068,25.61024937,26.83668903,1.226439659,0.098858384,1.19868245
whale11,F,Lactating Female,,mom,18,3/11/19 14:46,3,2019,season 3,130.6157755,MaRRS,Alta,190311_A_F2,35,23.5,6000,14.10933452,13.55688839,14.65353713,1.096648746,0.079215631,7.492938687,25.37649763,25.09300622,25.66489533,0.571889111,0.021020967,0.57134004
whale12,unknown,Mature Unknown,,,NA,3/3/19 19:04,3,2019,season 3,122.7946065,MaRRS,Alta,190303_A_F3,35,23.5,6000,12.73554841,12.41565543,13.05052599,0.634870567,0.025789432,4.499995357,29.84740977,29.62383825,30.05923587,0.435397614,0.012238513,0.370644608
whale13,F,Non-pregnant Female,,,NA,2/25/19 10:29,2,2019,season 3,116.4368287,MaRRS,Alta,190225_A_F1,35,23.5,6000,12.56799034,12.44083035,12.70226581,0.261435462,0.00457317,1.907549163,30.14753752,29.95984052,30.33193236,0.372091839,0.008927887,0.313416966
whale14,unknown,Juvenile Unknown,,,NA,3/10/19 18:00,3,2019,season 3,129.7506019,MaRRS,Alta,190310_A_F1,35,23.5,6000,9.341625199,9.208610722,9.474091268,0.265480546,0.004810239,2.269196585,25.73010156,25.53806075,25.92312134,0.385060592,0.009615278,0.381100425
